study,study_sample,sample_no,publishedyear,country,continent,samplingtype,psychotic_n,delusion_n,ethnicity,globeculturalcluster,diagnosiscoded,mooddisordercoded,setting,scale,validatedmeasure,clinicalassessment,percentfemales,agemean,psychosisdurationyears,percentantipsychoticmedication,qa,theme,cases
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_somatic,5.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_nihilistic_negation,3.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_witchcraft_magic_blackmagic,23.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_selfderogatory,3.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_sexual,3.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_passivity,13.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_passivity,6.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_madeaffect,6.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_thoughtwithdrawal,11.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_somaticpassivity,6.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_thoughtinsertion,22.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_perception,2.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_thoughtbroadcasting_spokenaloud_dissemination,10.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_madeimpulse,3.0
Ahmed 1984,Ahmed 1984 S_1,1,1984,Pakistan,Asia,Purposive,42,,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.325,31.45,,,5,n_madevolition,12.0
Akyuz 2010,Akyuz 2010 S_1,1,2010,Turkey,Asia,Purposive,9,9.0,,Middle East,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.222,44.67,,,3,n_grandiose_grandioseability_grandeur,1.0
Akyuz 2010,Akyuz 2010 S_1,1,2010,Turkey,Asia,Purposive,9,9.0,,Middle East,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.222,44.67,,,3,n_erotomanicheterosexual,2.0
Akyuz 2010,Akyuz 2010 S_1,1,2010,Turkey,Asia,Purposive,9,9.0,,Middle East,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.222,44.67,,,3,n_persecutory,4.0
Akyuz 2010,Akyuz 2010 S_1,1,2010,Turkey,Asia,Purposive,9,9.0,,Middle East,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.222,44.67,,,3,n_jealousy,2.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_somatic,2.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_other,17.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_grandiose_grandioseability_grandeur,12.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_grandiose_grandioseability_grandeur,67.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_grandiose_grandioseability_grandeur,43.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_grandiose_grandioseability_grandeur,10.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_other,4.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_guilt/sin,6.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_guilt/sin,14.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_guilt/sin,5.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_guilt/sin,4.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_somatic,15.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_somatic,8.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_other,47.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_other,11.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_somatic,4.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_religious,7.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_religious,24.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_religious,49.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_religious,8.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_thoughtbroadcasting_spokenaloud_dissemination,11.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_thoughtbroadcasting_spokenaloud_dissemination,13.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_thoughtbroadcasting_spokenaloud_dissemination,72.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_thoughtbroadcasting_spokenaloud_dissemination,9.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_persecutory,52.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_persecutory,116.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_persecutory,41.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_persecutory,23.0
Appelbaum 1999,Appelbaum 1999 S_1,1,1999,USA,North America,Stratified,56,56.0,Mixed American,Anglo,Major Depressive Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_control,20.0
Appelbaum 1999,Appelbaum 1999 S_2,2,1999,USA,North America,Stratified,138,138.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SCID,Validated,Structured,,,,,6,n_control,104.0
Appelbaum 1999,Appelbaum 1999 S_3,3,1999,USA,North America,Stratified,73,73.0,Mixed American,Anglo,Bipolar Disorder,yes,Inpatient,SCID,Validated,Structured,,,,,6,n_control,36.0
Appelbaum 1999,Appelbaum 1999 S_4,4,1999,USA,North America,Stratified,27,27.0,Mixed American,Anglo,Psychosis,no,Inpatient,SCID,Validated,Structured,,,,,6,n_control,18.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_mixed_multiple_various,15.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_somatic,4.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_monothematic,8.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_nihilistic_negation,4.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_guilt/sin,14.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_poverty,7.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_moodcongruent,18.0
Ayuso-Gutierrez 1985,Ayuso-Gutierrez 1985 S_1,1,1985,Spain,Europe,Purposive,26,26.0,Spanish,Latin Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.769,59.8,12.3,,7,n_moodincongruent,8.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_reference,1.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_sexual,16.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_sexual,36.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_sexual,3.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_sexual,1.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_reference,11.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_guilt/sin,0.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_guilt/sin,5.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_guilt/sin,3.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_guilt/sin,10.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_reference,16.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_reference,26.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_primary,0.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_primary,0.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_primary,0.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_primary,0.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_religious,4.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_religious,9.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_religious,37.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_nihilistic_negation,10.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_nihilistic_negation,0.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_paranoid,14.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_paranoid,61.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_paranoid,60.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_paranoid,59.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_religious,0.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_jealousy,1.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_jealousy,13.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_jealousy,22.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_jealousy,3.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_nihilistic_negation,5.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_nihilistic_negation,3.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_grandiose_grandioseability_grandeur,5.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_grandiose_grandioseability_grandeur,33.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_grandiose_grandioseability_grandeur,37.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_grandiose_grandioseability_grandeur,33.0
Azhar 1995,Azhar 1995 S_2,2,1995,Malaysia,Asia,Purposive,84,84.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_other,2.0
Azhar 1995,Azhar 1995 S_3,3,1995,Malaysia,Asia,Purposive,84,84.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_other,29.0
Azhar 1995,Azhar 1995 S_4,4,1995,Malaysia,Asia,Purposive,20,20.0,Chinese,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,5,n_other,1.0
Azhar 1995,Azhar 1995 S_1,1,1995,Malaysia,Asia,Purposive,82,82.0,Malay,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,,,,,7,n_other,5.0
Azzam 2020,Azzam 2020 S_1,1,2020,Egypt,Africa,Purposive,40,,,Middle East,Schizophrenia,no,Inpatient,PANSS,Validated,Structured,,,,,2,n_moodincongruent,31.0
Azzam 2020,Azzam 2020 S_2,2,2020,Egypt,Africa,Purposive,40,,,Middle East,Bipolar Disorder,yes,Inpatient,PANSS,Validated,PANSS,,,,,2,n_moodincongruent,14.0
Azzam 2020,Azzam 2020 S_2,2,2020,Egypt,Africa,Purposive,40,,,Middle East,Bipolar Disorder,yes,Inpatient,PANSS,Validated,PANSS,,,,,2,n_moodcongruent,26.0
